               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10567,            0.021464,            0.024539,                   0,                   0,                   0,                   0,             0.12787,            0.012655,            0.023219,          0.00024911,          0.00024911,            0.081862
                   1,            0.089627,            0.019445,            0.022528,            0.052187,            0.033654,            0.006521,           0.0010537,             0.12121,            0.013624,            0.023552,           0.0005068,           0.0005068,            0.079598
                   2,            0.075861,            0.015671,             0.02161,            0.022433,             0.15339,            0.015306,           0.0028932,              0.1124,            0.019709,            0.026248,          0.00076443,          0.00076443,            0.077334
                   3,            0.069361,            0.013702,            0.019781,              0.6091,             0.11058,             0.05977,             0.01191,            0.092684,            0.019529,            0.016252,            0.001022,            0.001022,             0.07507
                   4,             0.06697,            0.012868,            0.019199,            0.062134,             0.73214,            0.072552,            0.016504,            0.092167,            0.012566,            0.025623,           0.0012794,           0.0012794,            0.072806
                   5,            0.065409,            0.013253,            0.016335,             0.66982,             0.24519,             0.16332,            0.035902,            0.072941,             0.01241,            0.011668,           0.0015367,           0.0015367,            0.070542
                   6,            0.062223,            0.013159,            0.013678,             0.62284,                0.25,              0.1259,             0.02435,            0.081861,           0.0072819,            0.010574,           0.0017937,           0.0017937,            0.068277
                   7,            0.064831,            0.013222,            0.014756,            0.091667,             0.24932,            0.082482,            0.017663,            0.080155,            0.013117,            0.019827,           0.0020505,           0.0020505,            0.066013
                   8,            0.063584,            0.013148,            0.011063,             0.62138,             0.26442,             0.13188,            0.037138,            0.077449,            0.021687,            0.014573,           0.0023071,           0.0023071,            0.063748
                   9,            0.065654,            0.012868,            0.010535,             0.56883,             0.12019,            0.027316,           0.0045329,             0.10145,            0.018948,            0.014844,           0.0025633,           0.0025633,            0.061482
                  10,            0.065487,              0.0126,           0.0093156,             0.15951,             0.38874,             0.12762,             0.02455,            0.084281,              0.0249,           0.0068233,           0.0028191,           0.0028191,            0.059217
                  11,            0.062697,            0.012988,           0.0077818,             0.45928,             0.31237,             0.29343,            0.087746,            0.078802,            0.011288,            0.011212,           0.0030746,           0.0030746,            0.056951
                  12,            0.065994,            0.012752,           0.0081335,             0.21076,             0.25893,              0.1471,            0.042316,            0.089447,            0.010748,           0.0071375,           0.0033296,           0.0033296,            0.054684
                  13,            0.062421,            0.013267,           0.0073477,             0.09265,            0.091346,            0.034534,           0.0065397,             0.10791,            0.015526,             0.03422,           0.0035842,           0.0035842,            0.052417
                  14,            0.060913,            0.012732,           0.0064424,             0.11316,             0.40636,             0.10861,            0.025702,            0.082543,            0.029821,            0.079002,           0.0038382,           0.0038382,             0.05015
                  15,            0.061771,            0.012467,           0.0052938,             0.14192,             0.12477,            0.049945,            0.013291,             0.10783,           0.0067251,            0.055437,           0.0040917,           0.0040917,            0.047882
                  16,            0.062125,             0.01267,           0.0064169,             0.32203,             0.78961,             0.41914,             0.14367,            0.080111,           0.0085176,            0.006599,           0.0043447,           0.0043447,            0.045613
                  17,            0.062813,            0.012286,           0.0054238,             0.29186,             0.43563,             0.23434,             0.05229,            0.078511,             0.01549,             0.01274,            0.004597,            0.004597,            0.043344
                  18,            0.063102,            0.012577,           0.0046547,              0.3227,             0.83196,             0.41108,             0.11134,            0.072159,            0.011154,           0.0090661,           0.0048486,           0.0048486,            0.041074
                  19,            0.057791,            0.012421,           0.0055121,             0.29679,             0.33516,              0.1774,            0.039256,            0.086667,            0.041507,            0.010036,           0.0050996,           0.0050996,            0.038804
                  20,            0.058134,            0.012733,           0.0052923,             0.48543,             0.65385,             0.35356,             0.13083,            0.065088,            0.008736,            0.035852,           0.0053498,           0.0053498,            0.036532
                  21,             0.05865,            0.012263,           0.0072992,             0.48391,             0.79762,             0.65821,             0.16136,            0.065424,            0.010119,           0.0089094,           0.0055993,           0.0055993,             0.03426
                  22,            0.058932,            0.012526,           0.0054123,             0.20688,             0.23489,             0.15803,             0.03507,            0.072451,            0.010148,           0.0099951,           0.0058479,           0.0058479,            0.031987
                  23,            0.060106,            0.012326,           0.0052063,             0.15457,             0.22596,             0.10591,            0.026421,            0.073874,           0.0085278,           0.0033471,           0.0060957,           0.0060957,            0.029714
