               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10053,            0.018261,             0.02521,                   0,                   0,                   0,                   0,            0.076826,            0.010831,            0.018501,             0.00029,             0.00029,             0.09739
                   1,            0.082703,            0.017344,            0.022184,            0.001837,           0.0096154,          0.00075481,          0.00020963,            0.069242,           0.0059498,            0.020591,          0.00058999,          0.00058999,             0.09469
                   2,            0.075944,            0.015971,            0.021393,            0.049869,             0.14377,            0.045001,           0.0094084,            0.058897,           0.0057823,            0.019987,          0.00088991,          0.00088991,             0.09199
                   3,            0.070969,            0.012535,            0.018822,            0.071706,             0.16323,            0.032472,           0.0062682,            0.061217,           0.0060099,            0.016901,           0.0011897,           0.0011897,             0.08929
                   4,            0.067675,            0.011376,            0.018596,             0.55374,             0.16346,            0.053499,            0.010718,            0.054099,            0.027651,           0.0067724,           0.0014894,           0.0014894,            0.086589
                   5,            0.065561,            0.012173,            0.015142,             0.55615,              0.2737,            0.067022,            0.014536,            0.046316,             0.02036,           0.0083317,           0.0017889,           0.0017889,            0.083889
                   6,            0.062766,            0.012128,            0.012528,            0.062574,             0.11012,            0.031803,           0.0061393,            0.064934,            0.012422,            0.023131,           0.0020881,           0.0020881,            0.081188
                   7,            0.061588,            0.011578,           0.0070312,             0.36473,             0.36991,             0.19771,            0.046382,            0.041374,           0.0055214,            0.032362,           0.0023871,           0.0023871,            0.078487
                   8,             0.06178,             0.01101,           0.0074157,             0.13072,             0.35943,             0.12061,            0.022898,            0.051565,            0.016261,           0.0038686,           0.0026858,           0.0026858,            0.075786
                   9,            0.061534,            0.011252,           0.0070973,            0.072699,             0.14423,            0.045403,            0.010344,            0.052927,            0.015685,           0.0058852,            0.002984,            0.002984,            0.073084
                  10,            0.065419,            0.012117,            0.011046,             0.13806,              0.6179,             0.18644,            0.042089,            0.053609,            0.034722,           0.0036699,           0.0032819,           0.0032819,            0.070382
                  11,            0.063773,            0.010994,           0.0068828,             0.20712,             0.24382,             0.11235,            0.027613,            0.047031,            0.011005,            0.032278,           0.0035793,           0.0035793,            0.067679
                  12,            0.064032,            0.010592,           0.0058495,             0.18102,             0.25962,             0.17175,             0.05101,            0.044182,            0.016947,            0.011533,           0.0038762,           0.0038762,            0.064976
                  13,            0.061452,            0.010931,           0.0043497,             0.16715,             0.18704,            0.087346,            0.022082,            0.042245,            0.029732,            0.057697,           0.0041726,           0.0041726,            0.062273
                  14,            0.061193,            0.010477,           0.0038874,             0.54843,             0.22894,             0.20088,            0.049469,            0.037098,           0.0094526,            0.021318,           0.0044683,           0.0044683,            0.059568
                  15,             0.06257,            0.010517,              0.0049,             0.20025,              0.3837,             0.15298,            0.036924,            0.041115,             0.02434,           0.0030759,           0.0047635,           0.0047635,            0.056863
                  16,            0.060635,            0.010982,           0.0045832,             0.59316,             0.72622,             0.62012,              0.2145,            0.033059,           0.0057403,           0.0044367,           0.0050579,           0.0050579,            0.054158
                  17,            0.057359,            0.010919,           0.0046715,              0.5452,             0.43109,             0.37528,             0.10519,            0.042164,            0.011022,           0.0019993,           0.0053517,           0.0053517,            0.051452
                  18,            0.059834,            0.010688,           0.0045316,             0.10429,             0.38874,            0.063922,             0.01984,            0.050976,            0.018994,           0.0021374,           0.0056446,           0.0056446,            0.048745
                  19,            0.058801,            0.010168,           0.0036803,             0.54016,             0.65763,             0.55536,             0.17441,            0.038306,            0.021357,          0.00092264,           0.0059368,           0.0059368,            0.046037
                  20,             0.05905,            0.010303,           0.0042288,             0.27043,             0.34375,             0.15443,             0.02715,            0.047342,           0.0090721,          0.00077558,           0.0062281,           0.0062281,            0.043328
                  21,            0.057697,            0.010058,           0.0029723,             0.26963,             0.47848,             0.19583,            0.057786,            0.045311,            0.019692,            0.015101,           0.0065186,           0.0065186,            0.040619
                  22,            0.056851,            0.010301,              0.0036,             0.28932,             0.47756,             0.23446,            0.082527,            0.044261,             0.01263,             0.01412,           0.0068081,           0.0068081,            0.037908
                  23,            0.054847,            0.010229,           0.0027265,             0.42042,             0.41648,             0.33093,             0.11737,            0.038828,           0.0090292,           0.0031692,           0.0070966,           0.0070966,            0.035197
                  24,            0.055445,           0.0099454,           0.0037058,             0.60984,             0.77473,             0.67589,             0.24854,             0.03923,            0.010975,           0.0003432,           0.0073841,           0.0073841,            0.032484
                  25,             0.05853,            0.010775,           0.0083763,             0.62888,             0.22115,            0.072105,            0.014376,            0.050464,            0.010728,           0.0068288,           0.0076706,           0.0076706,            0.029771
                  26,            0.059028,            0.010796,           0.0061545,             0.17939,             0.22573,             0.14602,            0.049109,             0.04062,            0.026255,            0.032294,           0.0079559,           0.0079559,            0.027056
                  27,            0.058108,            0.010387,           0.0050361,             0.28034,             0.59867,             0.28943,            0.071652,            0.044346,            0.016859,           0.0021437,           0.0082401,           0.0082401,             0.02434
                  28,            0.056789,            0.010593,           0.0038553,             0.70868,             0.71157,             0.62156,             0.19475,            0.037789,           0.0079386,          0.00048432,           0.0085231,           0.0085231,            0.021623
                  29,            0.055074,             0.01031,            0.003253,             0.31222,             0.55492,             0.30724,             0.09807,            0.036605,           0.0053271,           0.0036182,           0.0088049,           0.0088049,            0.018905
                  30,            0.056018,            0.010581,           0.0028656,             0.78359,             0.82639,             0.78693,             0.23091,            0.035603,           0.0047014,           0.0039459,           0.0090854,           0.0090854,            0.016185
                  31,            0.055363,            0.010223,           0.0030575,             0.30553,             0.25865,             0.17311,            0.043627,            0.036247,           0.0046169,           0.0094017,           0.0093646,           0.0093646,            0.013465
                  32,            0.053346,            0.010215,           0.0028816,              0.4199,             0.38255,             0.24363,            0.054906,            0.043473,           0.0058632,            0.018143,           0.0096424,           0.0096424,            0.010742
                  33,            0.054725,            0.010045,           0.0031697,             0.42691,             0.55403,             0.36517,             0.10564,            0.034902,           0.0054464,            0.015996,            0.009734,            0.009734,            0.009734
                  34,            0.052293,            0.010101,           0.0029693,              0.5971,             0.60668,             0.50809,             0.18012,            0.033491,           0.0047412,          0.00045275,            0.009734,            0.009734,            0.009734
                  35,            0.053914,              0.0103,           0.0028754,             0.42991,             0.64695,             0.45339,             0.14375,             0.03567,           0.0044937,           0.0054572,           0.0097178,           0.0097178,           0.0097178
                  36,            0.054643,            0.010286,           0.0032227,             0.59554,             0.69712,             0.68947,             0.28483,            0.033587,           0.0070683,            0.011368,           0.0097011,           0.0097011,           0.0097011
                  37,            0.053887,            0.010422,           0.0021235,             0.79311,             0.80773,             0.78781,             0.32497,            0.033556,           0.0062924,           0.0005133,            0.009684,            0.009684,            0.009684
                  38,            0.052904,            0.010111,           0.0026531,             0.65794,             0.70765,             0.67885,             0.31524,            0.033799,           0.0046771,          0.00063164,           0.0096664,           0.0096664,           0.0096664
                  39,             0.05346,            0.010266,           0.0030495,             0.60381,             0.74611,             0.59401,             0.15706,             0.03406,           0.0053385,          0.00052357,           0.0096484,           0.0096484,           0.0096484
                  40,            0.051302,           0.0099161,           0.0020628,             0.64766,             0.65819,             0.70031,             0.28419,            0.031582,           0.0051123,           0.0019774,           0.0096299,           0.0096299,           0.0096299
                  41,            0.050615,            0.010073,           0.0019508,             0.54669,             0.45267,              0.3958,             0.13995,            0.035449,           0.0068761,          0.00027814,            0.009611,            0.009611,            0.009611
                  42,            0.050736,           0.0095621,           0.0018353,             0.71997,             0.81978,             0.80015,             0.33563,            0.029948,           0.0042423,          0.00036544,           0.0095916,           0.0095916,           0.0095916
                  43,            0.050025,           0.0099854,           0.0016071,             0.33346,             0.41209,             0.25917,            0.072097,            0.032882,           0.0050048,           0.0014789,           0.0095717,           0.0095717,           0.0095717
                  44,            0.049187,            0.010061,           0.0020615,             0.66239,             0.76007,             0.65572,              0.1799,            0.032684,            0.004185,           0.0012163,           0.0095514,           0.0095514,           0.0095514
                  45,            0.046795,           0.0093736,           0.0019647,             0.79177,             0.82497,             0.81452,              0.2958,            0.030041,            0.004239,          0.00067991,           0.0095307,           0.0095307,           0.0095307
                  46,            0.050945,            0.010181,            0.001893,             0.83663,             0.70232,             0.85585,              0.3721,            0.028393,           0.0043133,             0.00216,           0.0095095,           0.0095095,           0.0095095
                  47,            0.048922,           0.0099691,           0.0012843,             0.76936,             0.85102,             0.78404,             0.36359,             0.02891,           0.0047224,          0.00099695,           0.0094879,           0.0094879,           0.0094879
                  48,            0.048811,           0.0095976,           0.0014918,             0.79166,             0.83165,             0.84879,             0.41519,            0.028727,           0.0040781,            0.001185,           0.0094659,           0.0094659,           0.0094659
                  49,            0.049009,            0.010004,           0.0024836,             0.72731,               0.769,             0.74781,             0.31356,            0.028053,           0.0045115,          0.00089035,           0.0094434,           0.0094434,           0.0094434
