               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.057248,            0.012341,           0.0088676,            0.016259,            0.072115,           0.0046867,           0.0014144,              0.1029,            0.019458,            0.064103,           0.0083469,           0.0083469,           0.0083469
                  36,            0.056292,            0.011379,            0.006738,             0.41357,             0.70581,             0.37822,             0.11064,            0.070915,           0.0081077,            0.024662,           0.0083325,           0.0083325,           0.0083325
                  37,            0.053428,            0.011733,           0.0056073,             0.36954,             0.74519,             0.39042,             0.11148,            0.061152,           0.0083527,            0.017367,           0.0083178,           0.0083178,           0.0083178
                  38,            0.055524,            0.011638,           0.0051443,             0.70852,             0.81986,             0.70198,               0.228,            0.057063,           0.0080539,           0.0019841,           0.0083026,           0.0083026,           0.0083026
                  39,            0.054659,            0.011947,           0.0037623,             0.60918,             0.68571,             0.55462,               0.221,            0.054049,           0.0074501,            0.015212,           0.0082871,           0.0082871,           0.0082871
                  40,            0.053497,            0.011354,           0.0027409,             0.72066,             0.75921,             0.69635,             0.28504,            0.051784,           0.0072169,           0.0077255,           0.0082711,           0.0082711,           0.0082711
                  41,            0.051645,            0.011421,           0.0036446,              0.8547,             0.85491,             0.86847,             0.35933,            0.054025,           0.0077575,          0.00086632,           0.0082548,           0.0082548,           0.0082548
                  42,            0.053459,            0.011408,           0.0030315,             0.65364,             0.78365,             0.68626,             0.31401,            0.056884,           0.0072914,           0.0020144,           0.0082381,           0.0082381,           0.0082381
                  43,            0.055516,            0.012399,           0.0037517,              0.7323,             0.72596,                0.78,             0.27045,            0.052834,           0.0076112,            0.010393,            0.008221,            0.008221,            0.008221
                  44,            0.052513,            0.011352,           0.0032269,             0.76482,             0.75601,             0.70515,             0.27828,            0.055728,           0.0073847,           0.0026419,           0.0082036,           0.0082036,           0.0082036
                  45,             0.05331,            0.011895,           0.0036095,             0.62865,             0.71791,             0.69575,             0.27041,              0.0503,           0.0074627,           0.0014105,           0.0081857,           0.0081857,           0.0081857
                  46,            0.051783,            0.011312,            0.002897,             0.51953,              0.5641,             0.39316,             0.12238,            0.062031,           0.0071972,            0.016466,           0.0081674,           0.0081674,           0.0081674
                  47,            0.051411,            0.011166,           0.0038181,             0.75611,             0.78846,             0.75343,             0.31566,            0.053778,           0.0067081,           0.0017873,           0.0081488,           0.0081488,           0.0081488
                  48,             0.05182,            0.010934,           0.0029371,             0.66218,               0.878,             0.73292,             0.31221,            0.050429,           0.0073033,           0.0036134,           0.0081298,           0.0081298,           0.0081298
                  49,            0.051359,            0.011179,           0.0027581,             0.79944,             0.79285,             0.74069,             0.27456,            0.055737,           0.0087356,            0.003379,           0.0081105,           0.0081105,           0.0081105
                  50,            0.052484,            0.011093,           0.0027117,             0.45033,             0.43086,             0.32524,             0.13573,            0.074923,           0.0083247,             0.10853,           0.0080907,           0.0080907,           0.0080907
                  51,            0.052752,            0.011457,           0.0024182,             0.68376,             0.78417,             0.76201,             0.25426,            0.067774,           0.0084793,             0.08651,           0.0080706,           0.0080706,           0.0080706
                  52,            0.050214,            0.011433,            0.003097,             0.73434,             0.75549,             0.69796,             0.21595,            0.052658,           0.0074133,           0.0022497,           0.0080501,           0.0080501,           0.0080501
                  53,            0.050114,            0.011045,           0.0022501,             0.61163,             0.65995,             0.49205,             0.16006,            0.058605,           0.0072455,           0.0046951,           0.0080293,           0.0080293,           0.0080293
                  54,            0.050349,             0.01126,           0.0022906,             0.78423,             0.85067,             0.86977,             0.39411,            0.046094,           0.0067415,          0.00086315,           0.0080081,           0.0080081,           0.0080081
                  55,            0.050172,            0.010746,           0.0027425,              0.8242,             0.87981,             0.88514,              0.4279,            0.045041,           0.0067559,          0.00096619,           0.0079865,           0.0079865,           0.0079865
                  56,             0.04939,            0.010735,           0.0019586,             0.74428,              0.8116,             0.80636,             0.32428,            0.053022,           0.0069175,           0.0061189,           0.0079646,           0.0079646,           0.0079646
                  57,            0.049412,            0.011075,           0.0027308,             0.67014,             0.85043,             0.83371,             0.42577,            0.048063,            0.007307,            0.008399,           0.0079423,           0.0079423,           0.0079423
                  58,            0.050282,            0.010595,           0.0025206,             0.91401,             0.79849,             0.91049,             0.38655,             0.04797,           0.0070672,          0.00061669,           0.0079196,           0.0079196,           0.0079196
                  59,            0.048369,            0.011179,            0.001941,             0.75146,             0.76969,             0.70841,             0.22513,             0.05383,           0.0068272,          0.00054862,           0.0078966,           0.0078966,           0.0078966
                  60,            0.048245,            0.010649,           0.0019495,             0.74804,             0.90862,             0.86657,             0.36303,            0.046263,           0.0070694,           0.0014498,           0.0078733,           0.0078733,           0.0078733
                  61,            0.048301,            0.010252,           0.0025104,             0.81648,             0.86998,             0.83968,             0.32134,             0.04937,           0.0067608,          0.00093313,           0.0078496,           0.0078496,           0.0078496
                  62,            0.048002,            0.011094,           0.0025044,             0.67876,               0.712,             0.57756,             0.17732,            0.048667,           0.0067603,            0.021142,           0.0078256,           0.0078256,           0.0078256
                  63,            0.051226,            0.010766,           0.0047892,             0.75328,             0.69322,             0.63485,              0.1797,            0.055384,           0.0085069,          0.00042337,           0.0078012,           0.0078012,           0.0078012
                  64,             0.04906,            0.011162,           0.0024523,             0.72015,             0.74956,             0.69342,             0.19731,            0.060321,           0.0069225,           0.0021301,           0.0077765,           0.0077765,           0.0077765
                  65,            0.050571,            0.011134,           0.0025352,             0.79547,             0.83654,             0.83991,             0.35661,            0.049453,           0.0071209,          0.00082825,           0.0077514,           0.0077514,           0.0077514
                  66,            0.048895,             0.01025,           0.0025412,              0.8029,             0.75481,              0.8249,             0.30627,            0.047836,            0.007181,           0.0056888,            0.007726,            0.007726,            0.007726
