               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12182,            0.021145,            0.029368,                   0,                   0,                   0,                   0,            0.092632,            0.012492,            0.023084,               7e-05,               7e-05,             0.09937
                   1,            0.097394,            0.014986,            0.023617,                   0,                   0,                   0,                   0,            0.090038,           0.0087959,            0.028255,          0.00014999,          0.00014999,             0.09865
                   2,            0.087145,            0.017263,            0.022436,          6.6832e-05,           0.0096154,          3.4257e-05,           6.806e-06,            0.091031,           0.0089944,            0.029074,          0.00022997,          0.00022997,             0.09793
                   3,            0.081304,            0.017744,            0.020729,           5.733e-05,           0.0096154,          2.9333e-05,          5.8313e-06,            0.086494,           0.0089362,            0.027263,           0.0003099,           0.0003099,             0.09721
                   4,            0.076941,            0.018063,            0.018178,          0.00039703,            0.081731,          0.00023713,           4.475e-05,            0.080845,            0.011807,            0.020764,          0.00038978,          0.00038978,             0.09649
                   5,            0.073504,            0.019343,            0.016353,          0.00039804,            0.019231,          0.00022334,           5.813e-05,            0.075947,            0.012377,            0.021089,          0.00046958,          0.00046958,             0.09577
                   6,            0.072462,            0.019128,             0.01062,            0.059643,            0.014423,           0.0022385,          0.00030781,            0.073123,            0.011433,            0.029945,           0.0005493,           0.0005493,            0.095049
                   7,            0.070905,            0.018035,           0.0090457,            0.050159,            0.028846,           0.0075793,           0.0011818,            0.069859,            0.011041,            0.015584,           0.0006289,           0.0006289,            0.094329
                   8,            0.068818,            0.017724,           0.0070501,            0.006741,            0.043269,           0.0041199,           0.0005988,            0.068251,            0.009977,            0.031879,          0.00070839,          0.00070839,            0.093608
                   9,            0.067717,            0.017639,            0.005522,             0.51828,            0.019231,           0.0040185,          0.00081939,            0.072346,           0.0089562,             0.01422,          0.00078773,          0.00078773,            0.092888
                  10,            0.066658,            0.016648,           0.0040427,             0.55292,            0.028846,           0.0085384,           0.0013881,            0.069734,           0.0091587,           0.0056808,          0.00086691,          0.00086691,            0.092167
                  11,            0.064902,            0.015845,           0.0033586,            0.014471,            0.081731,           0.0080385,           0.0015819,            0.067184,            0.010688,            0.011004,          0.00094592,          0.00094592,            0.091446
                  12,             0.06332,            0.014744,           0.0029572,             0.01407,            0.076694,           0.0062234,           0.0018146,            0.068352,            0.011186,             0.01345,           0.0010247,           0.0010247,            0.090725
                  13,            0.063075,            0.014269,           0.0026708,            0.015185,            0.038462,           0.0063479,           0.0011379,            0.072971,            0.011249,            0.016394,           0.0011033,           0.0011033,            0.090003
                  14,            0.063217,            0.014201,           0.0024019,            0.033409,            0.057692,            0.014491,           0.0032852,             0.05982,            0.011296,            0.011884,           0.0011817,           0.0011817,            0.089282
                  15,            0.060069,            0.014488,           0.0021172,            0.068768,              0.3109,            0.058009,            0.011393,            0.057909,            0.010342,           0.0049101,           0.0012599,           0.0012599,             0.08856
                  16,              0.0582,            0.014183,           0.0016126,              0.1424,            0.062042,            0.013966,           0.0030752,            0.080844,           0.0097546,            0.033297,           0.0013378,           0.0013378,            0.087838
                  17,            0.058392,            0.013863,           0.0014434,            0.064255,              0.0625,            0.022243,           0.0034813,            0.061626,            0.012607,            0.013014,           0.0014154,           0.0014154,            0.087115
                  18,            0.059901,            0.013458,            0.001466,            0.038616,            0.086538,            0.014525,           0.0030881,            0.065166,            0.022018,           0.0065801,           0.0014927,           0.0014927,            0.086393
                  19,            0.057976,            0.013521,           0.0015249,            0.070243,            0.071514,            0.025559,           0.0047958,             0.07167,            0.018824,            0.011757,           0.0015697,           0.0015697,             0.08567
                  20,            0.057569,            0.013493,           0.0015817,            0.065419,             0.14835,            0.034277,           0.0050619,            0.059053,           0.0088243,           0.0015686,           0.0016464,           0.0016464,            0.084946
                  21,            0.055896,            0.013174,           0.0036945,              0.2134,             0.26213,             0.11323,            0.015836,            0.054507,            0.010177,           0.0029313,           0.0017227,           0.0017227,            0.084223
                  22,             0.05897,            0.013451,           0.0019713,            0.088903,             0.17193,             0.03367,            0.006215,            0.054969,            0.011933,           0.0013948,           0.0017987,           0.0017987,            0.083499
                  23,            0.059446,            0.012694,           0.0015661,            0.091183,             0.11516,            0.033057,           0.0049816,            0.057213,            0.010776,           0.0020527,           0.0018743,           0.0018743,            0.082774
                  24,            0.058759,            0.013407,           0.0019434,            0.029037,            0.067308,            0.010092,            0.001849,            0.072277,            0.057744,            0.020712,           0.0019496,           0.0019496,             0.08205
                  25,            0.057761,            0.012431,           0.0015721,             0.02238,             0.12912,           0.0073211,           0.0016687,            0.068895,            0.067651,           0.0034238,           0.0020244,           0.0020244,            0.081324
                  26,            0.057104,            0.012587,           0.0017431,            0.090677,             0.13439,            0.036129,           0.0059505,            0.054896,            0.024891,           0.0012311,           0.0020988,           0.0020988,            0.080599
                  27,            0.056761,            0.013029,           0.0015122,             0.10397,             0.16735,            0.037134,           0.0056901,            0.063505,            0.019774,          0.00024449,           0.0021728,           0.0021728,            0.079873
                  28,             0.05725,            0.013014,            0.001827,             0.10692,              0.2049,            0.060577,           0.0094481,            0.060805,            0.027646,          0.00024787,           0.0022463,           0.0022463,            0.079146
                  29,            0.054498,            0.012525,           0.0018997,            0.072463,            0.057047,            0.018424,           0.0036121,            0.075032,            0.039936,            0.022159,           0.0023194,           0.0023194,            0.078419
                  30,            0.053682,            0.012714,           0.0016754,             0.11051,             0.15728,            0.042262,           0.0093947,            0.073755,            0.023544,           0.0082741,           0.0023919,           0.0023919,            0.077692
