               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046311,           0.0096356,           0.0054077,             0.13622,             0.42582,            0.090318,            0.019872,            0.052169,           0.0071599,            0.035079,           0.0028568,           0.0028568,            0.073357
                  37,            0.045651,           0.0098956,            0.005311,             0.22113,             0.33951,              0.1482,            0.033299,            0.050203,           0.0063238,            0.041147,           0.0029289,           0.0029289,            0.072629
                  38,            0.043536,           0.0094715,            0.006884,             0.25014,             0.70291,             0.25287,            0.080789,            0.043778,           0.0065872,             0.03914,           0.0030006,           0.0030006,            0.071901
                  39,            0.042981,           0.0093851,            0.006875,             0.16892,             0.51681,             0.16587,            0.047617,            0.050185,           0.0058547,            0.034854,           0.0030719,           0.0030719,            0.071172
                  40,            0.044488,           0.0092489,           0.0075896,             0.24572,             0.57807,             0.20994,            0.061122,            0.044878,           0.0066458,            0.045727,           0.0031428,           0.0031428,            0.070443
                  41,            0.045006,           0.0096207,           0.0080397,             0.23734,              0.5002,             0.21663,            0.058856,            0.048684,           0.0088018,            0.063884,           0.0032132,           0.0032132,            0.069713
                  42,            0.046173,           0.0094083,           0.0055394,             0.27115,             0.55929,             0.22673,            0.078143,            0.043094,            0.015485,            0.029782,           0.0032831,           0.0032831,            0.068983
                  43,            0.046156,            0.009358,           0.0055682,             0.28459,             0.58791,             0.26155,            0.095699,            0.037854,            0.036021,            0.043718,           0.0033526,           0.0033526,            0.068253
                  44,             0.04558,           0.0096135,           0.0050338,             0.27204,             0.23558,             0.25677,            0.088311,            0.043761,           0.0096373,           0.0072489,           0.0034215,           0.0034215,            0.067522
                  45,            0.044424,           0.0094565,           0.0059271,             0.23918,             0.16346,             0.12953,            0.049355,            0.082173,            0.017943,            0.060382,             0.00349,             0.00349,             0.06679
