               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.04958,             0.01159,           0.0011339,             0.35457,             0.33951,             0.18922,            0.033952,            0.044336,            0.010204,          0.00020677,           0.0016416,           0.0016416,            0.044142
                  36,            0.048591,               0.012,          0.00092804,             0.17777,             0.29716,             0.15237,            0.035564,            0.045529,           0.0091185,          0.00028131,           0.0015553,           0.0015553,            0.042455
                  37,            0.046532,            0.011501,           0.0010144,             0.27441,             0.25366,             0.19768,            0.044426,            0.047472,           0.0088371,          0.00025582,           0.0014687,           0.0014687,            0.040769
                  38,            0.046624,            0.011032,           0.0010075,             0.32048,             0.28663,             0.21044,            0.042709,            0.052016,           0.0088731,          0.00064358,           0.0013828,           0.0013828,            0.039083
                  39,            0.044656,            0.011179,           0.0012633,             0.33935,             0.31571,             0.26308,            0.052668,            0.042422,           0.0092059,          0.00022246,           0.0012989,           0.0012989,            0.037399
                  40,            0.045156,            0.010893,          0.00088365,             0.26307,             0.30609,             0.20778,            0.059656,            0.046369,           0.0090379,          0.00027763,           0.0012179,           0.0012179,            0.035718
                  41,            0.045697,            0.011111,          0.00083022,             0.52345,             0.23878,             0.21329,            0.048035,            0.045481,           0.0091792,          0.00028608,           0.0011411,           0.0011411,            0.034041
                  42,            0.043817,            0.010759,           0.0010003,             0.38354,              0.3869,             0.28513,             0.06491,            0.043411,            0.008851,          0.00016405,           0.0010694,           0.0010694,            0.032369
                  43,             0.04246,            0.010404,          0.00070937,             0.42948,             0.54849,             0.40279,             0.07479,            0.045777,            0.010088,          0.00012022,           0.0010041,           0.0010041,            0.030704
                  44,            0.043649,            0.010438,          0.00071157,             0.38057,             0.50618,             0.40264,            0.086513,            0.045984,           0.0091713,          0.00013552,          0.00094621,          0.00094621,            0.029046
                  45,            0.041828,            0.010266,          0.00090062,             0.30367,              0.4256,             0.28044,            0.052726,            0.044236,            0.009357,          0.00014997,          0.00089688,          0.00089688,            0.027397
                  46,            0.044175,            0.010684,          0.00070463,             0.49299,             0.42115,             0.39433,            0.093747,            0.045532,           0.0087799,          0.00016637,          0.00085717,          0.00085717,            0.025757
                  47,            0.042887,            0.010356,          0.00082901,             0.31672,             0.47299,             0.32756,            0.060974,            0.044903,           0.0093043,          0.00018204,          0.00082814,          0.00082814,            0.024128
                  48,            0.040946,            0.010227,          0.00074911,             0.30262,             0.47321,             0.30826,             0.05548,            0.046067,           0.0088404,          0.00018805,          0.00081078,          0.00081078,            0.022511
                  49,             0.04033,           0.0099952,          0.00064454,             0.57863,             0.23878,             0.27424,            0.056731,            0.048394,           0.0096449,          0.00035687,          0.00080609,          0.00080609,            0.020906
